Aales oder Nichts,Alles oder Nicts,3,A,Karten,Party,Karten,6.4,2025,2,8,20,20,6,1,,,,https://boardgamegeek.com/boardgame/443829/wriggle-roulette
Ab auf die Arche,,1,A,Kind,Familie,Brett,6.5,2020,1,4,10,20,4,1,,,,https://boardgamegeek.com/boardgame/321755/critter-cruise
Ab durch die Mauer,,1,A,Normal,Familie,Brett,6.5,2019,2,4,20,20,7,1,,,,https://boardgamegeek.com/boardgame/270223/the-ghosts-of-castle-turnwall
Ab durch die Mauer,,3,A,Kind,Familie,Brett,6.5,2019,2,4,20,20,7,1,,,,https://boardgamegeek.com/boardgame/270223/the-ghosts-of-castle-turnwall
Ab in die Tonne,,1,A,Kind,Geschick,Material,6.3,2013,2,5,30,30,5,1.13,,,,https://boardgamegeek.com/boardgame/136416/mountain-53
Abalone,,1,A,Zwei,Strategie,Brett,6.5,1987,2,2,30,30,8,2.16,,,,https://boardgamegeek.com/boardgame/526/abalone
Abluxxen,Abluchsen,5,A,Karten,Familie,Karten,7,2014,2,5,20,20,8,1.39,,,,https://boardgamegeek.com/boardgame/153065/linko
Abomination: Frankensteins Vermächtnis,Abomination Frankensteins Vermächtnis,1,A,Normal,Strategie,Brett,7.4,2019,2,4,90,180,14,3.25,,,,https://boardgamegeek.com/boardgame/239472/abomination-the-heir-of-frankenstein
Abyss,,2,A,Normal,Strategie,Brett,7.3,2014,2,4,30,60,10,2.32,,,,https://boardgamegeek.com/boardgame/155987/abyss
Activity Crime,,1,A,Normal,Party,Karten,7,2019,3,8,60,60,12,1,,,,https://boardgamegeek.com/boardgame/288422/activity-crime
Activity Krazy Kritzel,Activity Crazy Kritzel,1,A,Normal,Party,Material,5.5,2016,3,10,60,60,8,1,,,,https://boardgamegeek.com/boardgame/192246/activity-krazy-kritzel
Activity Solo & Team,,1,A,Normal,Party,Karten,6.8,2019,3,10,60,60,12,1,,,,https://boardgamegeek.com/boardgame/325523/activity-solo-and-team
Activity: Das gibt's ja gar nicht!,,1,A,Normal,Party,Karten,7,2023,4,16,45,45,12,1,,,,https://boardgamegeek.com/boardgame/411008/activity-das-gibts-ja-gar-nicht
